Author Name,Affiliation,Google Scholar Link,Research Interests,Email Domain,Citations,Nation,,,,,
Ferdinando Mussa-Ivaldi,"Professor of Physiology and Biomedical Engineering, Northwestern University",https://scholar.google.com/citations?hl=en&user=i26AbOYAAAAJ,"Systems Neuroscience, Motor Learning, Robotics, Rehabilitation, Computational Neuroscience",northwestern.edu,20475,us,,,,,
Alexander S. Ecker,"University of G?ttingen, Germany",https://scholar.google.com/citations?hl=en&user=VgYU_m8AAAAJ,"Computational Neuroscience, Vision, Machine Learning, Computer Vision, Data Science",cs.uni-goettingen.de,20391,de,,,,,
Dora E Angelaki,Professor,https://scholar.google.com/citations?hl=en&user=u5KcrAwAAAAJ,"computational neuroscience, multisensory, vision, spatial navigation, vestibular",nyu.edu,20367,us,,,,,
Christian Igel,"Department of Computer Science, University of Copenhagen",https://scholar.google.com/citations?hl=en&user=d-jF4zIAAAAJ,"machine learning, computational intelligence, optimization, computational neuroscience",diku.dk,20193,dk,,,,,
Peter Jung,"Professor of Physics, Ohio University",https://scholar.google.com/citations?hl=en&user=6HTJT4cAAAAJ,"Biophysics, Computational Neuroscience, Computational Cell Biology",ohio.edu,19753,us,,,,,
Zachary F Mainen,Champalimaud Neuroscience Programme,https://scholar.google.com/citations?hl=en&user=ivDH8SoAAAAJ,"Neuroscience, Systems neuroscience, Computational Neuroscience, Decision-making, Serotonin",neuro.fchampalimaud.org,19625,pt,,,,,
Thomas Serre,"Professor, Brown University and ANR-3IA Artificial and Natural Intelligence Toulouse"," https://scholar.google.com/citations?hl=en&user=kZlPW4wAAAAJ,computational neuroscience","computer vision,  computational behavioral science,  deep learning,  recurrent neural networks",brown.edu,19541,us,,,,,
Claus C. Hilgetag,"Professor & Director, Institute of Computational Neuroscience, University Medical Center ",https://scholar.google.com/citations?hl=en&user=qceKVpYAAAAJ,"Neuroinformatics, Computational Neuroscience",uke.de,19376,de,,,,,
Misha Tsodyks,Weizmann Institute,https://scholar.google.com/citations?hl=en&user=qQgUtucAAAAJ,"Computational neuroscience, nonlinear dynamics, statistical physics, cognitive science",weizmann.ac.il,19214,il,,,,,
Wilson S Geisler,"Professor, University of Texas at Austin",https://scholar.google.com/citations?hl=en&user=a5krdEgAAAAJ,"vision science, visual neuroscience, computational neuroscience, visual perception",utexas.edu,18953,us,,,,,
Md Irfan Ali,Data & Analytics Manager at Brainsfeed,https://scholar.google.com/citations?hl=en&user=RBoHG8sAAAAJ,"Machine Learning, Computational Neuroscience, Artificial Intelligence, Neuroimaging",,18905,fr,,,,,
Ehsan Adeli,Stanford University,https://scholar.google.com/citations?hl=en&user=7NX_J_cAAAAJ,"Computer Vision, Computational Neuroscience, Precision Healthcare, Ambient Intelligence",stanford.edu,18891,us,,,,,
Andreas Tolias,Stanford University,https://scholar.google.com/citations?hl=en&user=O6q2Tr4AAAAJ,"systems neuroscience, computational neuroscience, machine learning, artificial intelligence, NeuroAI",stanford.edu,18889,us,,,,,
Tamar Flash,"Dept of Computer Science and Applied Mathematics, Weizmann Institute",https://scholar.google.com/citations?hl=en&user=-p2WHtgAAAAJ,"Neuroscience, motor control, robotics, computational neuroscience",weizmann.ac.il,18834,il,,,,,
James M Bower,"Affiliate Professor of Biology, Southern Oregon University",https://scholar.google.com/citations?hl=en&user=IIUhm2oAAAAJ,"computational neuroscience, neurophysiology, science education",numedeon.com,18418,us,,,,,
Daniel Yamins,"Associate Professor of Computer Science and of Psychology, Stanford University",https://scholar.google.com/citations?hl=en&user=qwC3vG8AAAAJ,"Computational Neuroscience, AI, Computational Cognitive Science, Computer Vision, Self-supervised",stanford.edu,18130,us,,,,,
Yanping Huang,Google Brain,https://scholar.google.com/citations?hl=en&user=uEtBQScAAAAJ,"Artificial Intelligence, Deep Learning, Machine Learning Systems, Computational Neuroscience",google.com,18062,us,,,,,
Tianming Liu,"Distinguished Research Professor of Computer Science, University of Georgia",https://scholar.google.com/citations?hl=en&user=92RPXm0AAAAJ,"Brain Imaging, Computational Neuroscience, Brain-inspired AI, Artificial General Intelligence",cs.uga.edu,17694,us,,,,,
Fred Rieke,"Professor, Physiology and Biophysics and HHMI, University of Washington",https://scholar.google.com/citations?hl=en&user=n7LOIVoAAAAJ,"Computational Neuroscience, Biophysics, Sensory Processing, Neural Computation",uw.edu,17376,us,,,,,
Idan Segev,"Prof. of Computational Neuroscience, Hebrew University of Jerusalem",https://scholar.google.com/citations?hl=en&user=JDhMq3kAAAAJ,"Neuronal modelling, Computational Neuroscience, Cortical processing",mail.huji.ac.il,17313,il,,,,,
Evelina (Ev) Fedorenko,"MIT, Associate Professor",https://scholar.google.com/citations?hl=en&user=1CgET20AAAAJ,"Cognitive Neuroscience, Computational Neuroscience, Cognitive Science, Neurolinguistics",mit.edu,16842,us,,,,,
Yaniv Assaf,"Professor of Neurobiology, Tel Aviv University",https://scholar.google.com/citations?hl=en&user=ujBtTLMAAAAJ,"Computational neuroscience, brain mapping, neuroimaging, networks",tauex.tau.ac.il,16797,il,,,,,
Prof. Claudia Clopath,"Bioengineering, Imperial College London",https://scholar.google.com/citations?hl=en&user=jy5yBV4AAAAJ,Computational Neuroscience,imperial.ac.uk,16696,uk,,,,,
Neil Rabinowitz,DeepMind,https://scholar.google.com/citations?hl=en&user=AgUYQMwAAAAJ,"deep learning, computational neuroscience",google.com,16636,us,,,,,
Riccardo Zecchina,"professor, theoretical physics, Bocconi University",https://scholar.google.com/citations?hl=en&user=fNOReswAAAAJ,"statistical physics, optimisation and inference, machine learning, computational biology, computational neuroscience",unibocconi.it,16568,it,,,,,
Peter A. Tass,"Professor of Neurosurgery, Stanford University",https://scholar.google.com/citations?hl=en&user=IGB-wHkAAAAJ,"computational neuroscience, neuromodulation, desynchronization, Parkinson's, network physiology",stanford.edu,16210,us,,,,,
Xin Li,"University at Albany, IEEE Fellow, AAIA Fellow",https://scholar.google.com/citations?hl=en&user=gMBvzGoAAAAJ,"computer vision, computational neuroscience, Multimodal AI, machine learning, autism research",albany.edu,16202,us,,,,,
Bernhard Nessler,"SCCH GmbH & Johannes Kepler University Linz, Austria",https://scholar.google.com/citations?hl=en&user=H_ICOW4AAAAJ,"Computational Neuroscience, Machine Learning, Deep Learning, Autonomous Driving",scch.at,16150,at,,,,,
Arif Babul,University of Victoria,https://scholar.google.com/citations?hl=en&user=wkgGYtoAAAAJ,"Astrophysics, Computational Cosmology, Galaxy Formation, Groups/Clusters, Computational Neuroscience",uvic.ca,16007,ca,,,,,
Adam Santoro,Google DeepMind,https://scholar.google.com/citations?hl=en&user=evIkDWoAAAAJ,"Computational Neuroscience, Machine Learning, Memory Consolidation",google.com,16000,us,,,,,
Randall D. Beer,"Provost Professor of Cognitive Science, Provost Professor of Informatics & Computing ",https://scholar.google.com/citations?hl=en&user=F_J8QyAAAAAJ,"Complex Systems, Artificial Life,  Embodied Cognition,  Computational Neuroscience",indiana.edu,15811,us,,,,,
Barak A. Pearlmutter,"Dept of Computer Science, Maynooth University",https://scholar.google.com/citations?hl=en&user=AxFrw0sAAAAJ,"Computational Neuroscience, Theoretical Neurobiology, Machine Learning, Recurrent Neural Networks, Automatic Differentiation",pearlmutter.net,15556,ie,,,,,
Michael Milford,"QUT Professor | Director, QUT Robotics Centre | ARC Laureate Fellow | Microsoft Fellow",https://scholar.google.com/citations?hl=en&user=TDSmCKgAAAAJ,"Robotics, computational neuroscience, navigation, SLAM, RatSLAM",qut.edu.au,15373,au,,,,,
Dong-Uk Hwang (D.-U. Hwang),National Institute for Mathematical Sciences,https://scholar.google.com/citations?hl=en&user=M6sJeNYAAAAJ,"Statistical Physics, Complex Systems, Computational Neuroscience",nims.re.kr,15182,kr,,,,,
Thomas Martinetz,"Professor of Computer Science, University of L√ºbeck",https://scholar.google.com/citations?hl=en&user=0-tDtUIAAAAJ,"neural networks, machine learning, artificial intelligence, computational neuroscience, k√ºnstliche Intelligenz",inb.uni-luebeck.de,14809,de,,,,,
kai joshua miller,"Professor of Neurosurgery, Mayo Clinic",https://scholar.google.com/citations?hl=en&user=PK5gALEAAAAJ,"neurophysiology, neural engineering, computational neuroscience, cognitive neuroscience",mayo.edu,14809,us,,,,,
J®¶r®¶mie Mattout,Lyon Neuroscience Research Center,https://scholar.google.com/citations?hl=en&user=QdwU_gIAAAAJ,"electrophysiology, cognitive neuroscience, brain-computer interfaces, computational neuroscience, MEG",inserm.fr,14742,fr,,,,,
Lukas Grossberger,Bosch Center for Artificial Intelligence,https://scholar.google.com/citations?hl=en&user=CAA5zEIAAAAJ,"Computational Neuroscience, Machine Learning",bosch.com,14683,de,,,,,
Alfonso Nieto-Castanon,"Computational Neuroscience Research Lab, Spain",https://scholar.google.com/citations?hl=en&user=PcD1M7kAAAAJ,"Computational neuroscience, Cognitive neuroscience, Neuroimaging, Machine learning",mit.edu,13970,us,,,,,
Y-Lan Boureau,Facebook AI Research,https://scholar.google.com/citations?hl=en&user=GfcBlpUAAAAJ,"Natural language processing, Machine Learning, Artificial Intelligence, Computational Neuroscience",fb.com,13913,us,,,,,
Laurenz Wiskott,"Professor of Theory of Neural Systems, Institut f√ºr Neuroinformatik, Ruhr-Universit√§t Bochum",https://scholar.google.com/citations?hl=en&user=Uk8Le0YAAAAJ,"computational neuroscience, machine learning, unsupervised learning, hippocampus",ini.rub.de,13786,de,,,,,
Malte J Rasch,Sony AI (previously: IBM Research AI),https://scholar.google.com/citations?hl=en&user=Ycos9pAAAAAJ,"Computational Neuroscience, Machine learning, Analog in-memory computing, AI for chip design",sony.com,13764,jp,,,,,
Terence Sanger,"UCI, Professor of Electrical Engineering and Computer Science. CHOC, Child Neurology",https://scholar.google.com/citations?hl=en&user=d2mNNwIAAAAJ,"Computational Neuroscience, Machine Learning, Dystonia, Child Neurology",uci.edu,13612,us,,,,,
Rafal Bogacz,MRC Brain Network Dynamics Unit at the University of Oxford,https://scholar.google.com/citations?hl=en&user=m02-44gAAAAJ,"Computational neuroscience, Machine Learning",ndcn.ox.ac.uk,13435,uk,,,,,
Christoph Kayser,"Cognitive Neuroscience, Bielefeld University",https://scholar.google.com/citations?hl=en&user=F7VTyJgAAAAJ,"Cognitive Neuroscience, Auditory Cortex, Multisensory Integration, Multisensory processing, Computational Neuroscience",uni-bielefeld.de,13346,de,,,,,
