Author Name,Affiliation,Google Scholar Link,Research Interests,Email Domain,Citations,Nation,,,,,
Yoram Burak,Hebrew University,https://scholar.google.com/citations?hl=en&user=rd5lkRkAAAAJ,"computational neuroscience, theoretical neuroscience, biophysics",elsc.huji.ac.il,3062,il,,,,,
Galit Fuhrmann Alpert,Research Scientist,https://scholar.google.com/citations?hl=en&user=zLL9YwwAAAAJ,"Computational Neuroscience, Data Science, Machine Learning, Brain Computer Interface, Mathematical Modeling",mail.huji.ac.il,3056,il,,,,,
Bahareh Behrouz,"Scientist at Neuroinitiative, LLC",https://scholar.google.com/citations?hl=en&user=Lej1gnUAAAAJ,"Neurodegenerative disease, Parkinson's disease, Alzheimer's disease, computational neuroscience",neuroinitiative.com,3054,us,,,,,
Joel Zylberberg,York University and CIFAR,https://scholar.google.com/citations?hl=en&user=xGNBRzMAAAAJ,"Computational Neuroscience, Vision, Machine Learning, Artificial Intelligence",yorku.ca,3053,ca,,,,,
Mario Aguilar-Simon,"Fellow, Teledyne Scientific",https://scholar.google.com/citations?hl=en&user=nLy5cy8AAAAJ,"Artificial Intelligence, Computational Neuroscience",teledyne.com,3050,us,,,,,
Jan Balaguer,Deepmind,https://scholar.google.com/citations?hl=en&user=88xDcnoAAAAJ,"reinforcement learning, computational neuroscience",google.com,3049,us,,,,,
Qianli Liao,MIT,https://scholar.google.com/citations?hl=en&user=oSZZ7ncAAAAJ,"Machine Learning, Computer Vision, Computational Neuroscience",mit.edu,3045,us,,,,,
Patricio Orio,Universidad de Valpara®™so,https://scholar.google.com/citations?hl=en&user=S5t5YowAAAAJ,computational neuroscience,uv.cl,3021,cl,,,,,
Pieter Kubben,neurosurgeon Maastricht UMC+,https://scholar.google.com/citations?hl=en&user=qJ8121AAAAAJ,"neuroimaging, computational neuroscience, functional neurosurgery, brain computer interface, neuroprosthetics",mumc.nl,3008,nl,,,,,
Jan Soelter,Hochschule Stralsund,https://scholar.google.com/citations?hl=en&user=wCAOTHcAAAAJ,"Machine Learning, Computational Neuroscience",hochschule-stralsund.de,2999,de,,,,,
Sandro Romani,Janelia Research Campus - HHMI,https://scholar.google.com/citations?hl=en&user=9LsYqOoAAAAJ,Computational Neuroscience,janelia.hhmi.org,2993,us,,,,,
Cheolsoo Park,"Associate Professor, Kwangwoon University",https://scholar.google.com/citations?hl=en&user=hPja97YAAAAJ,"machine learning, computational neuroscience, brain computer interface, statistical signal processing",kw.ac.kr,2983,kr,,,,,
Hans Ekkehard Plesser,"Professor in Informatics, Norwegian University of Life Sciences",https://scholar.google.com/citations?hl=en&user=YR5QfVEAAAAJ,"Computational neuroscience, neuroinformatics, simulation of large neuronal networks, stochastic processes",nmbu.no,2975,no,,,,,
Erik J Peterson,"Senior Scientist, Pasteur Labs",https://scholar.google.com/citations?hl=en&user=DQ9enXUAAAAJ,"computational neuroscience, machine learning",simulation.science,2964,global,,,,,
Utkarsh Singhal,PhD Student at UC Berkeley,https://scholar.google.com/citations?hl=en&user=lvA86MYAAAAJ,"Artificial Intelligence, Machine Learning, Brain-Machine Interfaces, Computational Neuroscience, Signal processing",berkeley.edu,2959,us,,,,,
Arvind Kumar,"KTH Royal Institute of Technology, Stockholm, Sweden",https://scholar.google.com/citations?hl=en&user=r25Z-fYAAAAJ,"Computational Neuroscience, Biological neuronal networks",kth.se,2949,se,,,,,
Reza Zomorrodi,"Center for Addiction and Mental Health, University of Toronto",https://scholar.google.com/citations?hl=en&user=nS0KuYcAAAAJ,"Brain Stimulation, Cognitive Neuroscience, Neurophysiology, Computational Neuroscience, Photobiomodulation",camh.ca,2925,ca,,,,,
Janneth Gonz®¢lez Santos,Associate Professor Pontificia Universidad Javeriana,https://scholar.google.com/citations?hl=en&user=lrE4PK8AAAAJ,"Computational Biology, Bioinformatics, Computational Neuroscience",javeriana.edu.co,2924,co,,,,,
Sachin S. Talathi,Facebook Reality Lab,https://scholar.google.com/citations?hl=en&user=Tz_jwsQAAAAJ,"Deep Learning, Machine Learning, Computational Neuroscience, Neural Signal Processing",oculus.com,2915,us,,,,,
Jan Benda,"Professor, Neuroethology, University T®πbingen",https://scholar.google.com/citations?hl=en&user=5dFjaFoAAAAJ,"computational neuroscience, sensory systems, weakly electric fish",uni-tuebingen.de,2914,de,,,,,
Pietro Avanzini,Consiglio Nazionale delle Ricerche - Istituto di Neuroscienze,https://scholar.google.com/citations?hl=en&user=4xA323kAAAAJ,"Neuroscience, Cognition, Epilepsy, EEG, Computational Neuroscience",cnr.it,2905,it,,,,,
Rong Chen,University of Maryland,https://scholar.google.com/citations?hl=en&user=HhGDfQsAAAAJ,"Computational neuroscience, Computer science, Biomedical informatics, Translational medicine, Neuroimaging",som.umaryland.edu,2900,us,,,,,
Asohan Amarasingham,"City College and The Graduate Center, City University of New York",https://scholar.google.com/citations?hl=en&user=zGkM990AAAAJ,"computational neuroscience, statistics, machine learning, systems neuroscience",ccny.cuny.edu,2890,us,,,,,
Timothy O'Leary,"Professor of Neuroscience and Information Engineering, University of Cambridge",https://scholar.google.com/citations?hl=en&user=CxaDsg8AAAAJ,"Neuroscience, Computational Neuroscience, Neural Networks, Systems Biology, Systems Theory",cam.ac.uk,2872,uk,,,,,
Jason W Bohland,"Assistant Professor, Communication Science and Disorders, University of Pittsburgh",https://scholar.google.com/citations?hl=en&user=VJdkP-QAAAAJ,"Speech Science, Speech Production, Brain Imaging, Computational Neuroscience, Neuroinformatics",pitt.edu,2860,us,,,,,
Christos Frantzidis,Senior Lecturer in Computer Science - Machine Learning,https://scholar.google.com/citations?hl=en&user=cLmZrqMAAAAJ,"Machine Learning, Computational Neuroscience, Neurolinguistics, Brain Networks, Sleep studies",lincoln.ac.uk,2860,uk,,,,,
Ernest Barreto,"Professor of Physics, George Mason University",https://scholar.google.com/citations?hl=en&user=Dbf6gykAAAAJ,"nonlinear dynamics, computational neuroscience",gmu.edu,2859,us,,,,,
Kelvin Mok,McGill University; Montreal Neurological Institute; Alberta Health Services,https://scholar.google.com/citations?hl=en&user=iwFSLB0AAAAJ,"Image-Guided Neurosurgery, Medical Image Processing, Computational Neuroscience, Health Systems",mail.mcgill.ca,2857,ca,,,,,
Werner Van Geit,"Project Leader High Performance Neuroscience, IT'IS Foundation",https://scholar.google.com/citations?hl=en&user=5sr9FJgAAAAJ,"Computational neuroscience, Single cell modelling, Automatic parameter optimization",itis.swiss,2841,ch,,,,,
Jeffrey P. Gill,"Ph.D. Candidate, Case Western Reserve University",https://scholar.google.com/citations?hl=en&user=hJh3jsgAAAAJ,"Neurobiology, Computational Neuroscience, Electrophysiology",case.edu,2837,us,,,,,
Jo√£o Sacramento,Google,https://scholar.google.com/citations?hl=en&user=9hpcmYUAAAAJ,"Computational neuroscience, machine learning",joaosacramento.com,2833,us,,,,,
Jason N. MacLean,University of Chicago,https://scholar.google.com/citations?hl=en&user=uwz4kDYAAAAJ,"Computational Neuroscience, Network Science, Systems Neuroscience",uchicago.edu,2830,us,,,,,
Dan Hammerstrom,"Professor Emeritus, Portland State University",https://scholar.google.com/citations?hl=en&user=HD85yyYAAAAJ,Computational Neuroscience,pdx.edu,2827,us,,,,,
Christopher R. Fetsch,"Assistant Professor, Johns Hopkins University",https://scholar.google.com/citations?hl=en&user=moHhU14AAAAJ,"Systems Neuroscience, Computational Neuroscience, Decision Making, Multisensory Integration",jhu.edu,2824,us,,,,,
Ashwini Oswal,University of Oxford,https://scholar.google.com/citations?hl=en&user=PVOxx0wAAAAJ,"Electrophysiology, cognitive neuroscience, computational neuroscience, clinical neurology",ndcn.ox.ac.uk,2818,uk,,,,,
Daqing Guo,"Professor, University of Electronic Science and Technology of China, China",https://scholar.google.com/citations?hl=en&user=r3XU9PEAAAAJ,"Computational neuroscience, Digital Twins of Brain, Analysis of Neurodata",uestc.edu.cn,2815,cn,,,,,
Sen Cheng,Ruhr University Bochum,https://scholar.google.com/citations?hl=en&user=_dzbEm4AAAAJ,Computational Neuroscience,rub.de,2811,de,,,,,
Alex Serb,"Reader, University of Edinburgh",https://scholar.google.com/citations?hl=en&user=UW_ZcYEAAAAJ,"Electronic circuits, neuromorphic engineering, computational neuroscience.",ed.ac.uk,2801,uk,,,,,
Samuel A. Nastase,"Research scholar, lecturer, Princeton University",https://scholar.google.com/citations?hl=en&user=tjLH8mQAAAAJ,"cognitive neuroscience, computational neuroscience",princeton.edu,2797,us,,,,,
Erez Simony,Holon Institute of Technology (HIT) & Weizmann Institute of science,https://scholar.google.com/citations?hl=en&user=XypnRacAAAAJ,"System Neuroscience, Computational Neuroscience, Cognitive Neuroscience, Deep Learning",hit.ac.il,2797,il,,,,,
Takufumi Yanagisawa,"Osaka University, Institute for Advanced Co-creation studies",https://scholar.google.com/citations?hl=en&user=zb_PzNQAAAAJ,"Neurosurgery, Computational neuroscience",nsurg.med.osaka-u.ac.jp,2796,jp,,,,,
Kim Do-Won,"Department of Biomedical Engineering, Chonnam National University",https://scholar.google.com/citations?hl=en&user=fPv9kVoAAAAJ,Computational Neuroscience,jnu.ac.kr,2784,kr,,,,,
Shyam Diwakar,"Amrita Mind Brain Center, Amrita Vishwa Vidyapeetham",https://scholar.google.com/citations?hl=en&user=yrqU2M0AAAAJ,"Neuophysiology, Computational Neuroscience, Cerebellum, EEG, virtual laboratories",amrita.edu,2781,in,,,,,
Astero Provata,"Research Director,National Center for Scientific Research ""Demokritos""",https://scholar.google.com/citations?hl=en&user=K2QI9HMAAAAJ,"Dynamical Systems, Nonlinear Dynamics, Computational Neuroscience, Complex Networks, Reaction Diffusion Systems",inn.demokritos.gr,2776,gr,,,,,
Grace W Lindsay,"Assistant Professor, New York University",https://scholar.google.com/citations?hl=en&user=4kETHY4AAAAJ,Computational Neuroscience,nyu.edu,2766,us,,,,,
Saroja somasundaram,Allen Institute,https://scholar.google.com/citations?hl=en&user=Te66Pp8AAAAJ,"Bioinformatics, R programming, Computational neuroscience",alleninstitute.org,2766,us,,,,,
Rui Ponte Costa,"Group Leader/Principal Investigator, University of Oxford",https://scholar.google.com/citations?hl=en&user=otGgQKQAAAAJ,"Computational Neuroscience, Learning, Neural Circuits, Systems Neuroscience, Machine Learning",dpag.ox.ac.uk,2761,uk,,,,,
Antoine Wystrach,CRCA (UMR 5169); CNRS - University Paul Sabatier of Toulouse,https://scholar.google.com/citations?hl=en&user=WMltf7wAAAAJ,"Neuroethology, insect vision, navigation, computational neuroscience, comparative cognition",univ-tlse3.fr,2761,fr,,,,,
Cengiz Pehlevan,Harvard University,https://scholar.google.com/citations?hl=en&user=veDLTPEAAAAJ,"Neural Computation, Computational Neuroscience, Theoretical Neuroscience, Machine Learning",seas.harvard.edu,2754,us,,,,,
Gordon J. Berman,"Associate Professor of Biology, Emory University",https://scholar.google.com/citations?hl=en&user=rPGn0XYAAAAJ,"Theoretical Biophysics, Animal Behavior, Computational Neuroscience, Biomechanics, Dimensionality Reduction",emory.edu,2738,us,,,,,
Andrea Banino,DeepMind,https://scholar.google.com/citations?hl=en&user=QD-sf3IAAAAJ,"Artificial Intelligence, Computational Neuroscience, Cognitive Neuroscience",google.com,2733,us,,,,,
genela morris,"Neurosurgery, Tel Aviv Medical Center",https://scholar.google.com/citations?hl=en&user=wLWX1GwAAAAJ,"neuroscience, neurobiology, decision making, reinforcement learning, computational neuroscience",tlvmc.gov.il,2720,il,,,,,
Frederic Alexandre,Inria,https://scholar.google.com/citations?hl=en&user=1xGdrVsAAAAJ,"Computational Neuroscience, Cognitive Neuroscience, Machine Learning, Artificial Intelligence",inria.fr,2716,fr,,,,,
Minjeong Kim,"Assistant Professor of Computer Science, University of North Carolina at Greensboro",https://scholar.google.com/citations?hl=en&user=m26d_0cAAAAJ,"Medical Image Analysis, Machine Learning, Deep Learning, Computational Neuroscience",uncg.edu,2710,us,,,,,
Guangyu Robert Yang,CEO Altera.AL & former assistant professor at MIT,https://scholar.google.com/citations?hl=en&user=hrI8aH8AAAAJ,"AI Agent, Computational Neuroscience",altera.al,2707,al,,,,,
Jason G Fleischer,UC San Diego,https://scholar.google.com/citations?hl=en&user=dWR9MGgAAAAJ,"Data Science, Bioinformatics, Computational Neuroscience, Robotics, Artificial Intelligence",ucsd.edu,2705,us,,,,,
Alireza Soltani,Associate Professor of Psychological and Brain Sciences - Dartmouth College,https://scholar.google.com/citations?hl=en&user=iV8mtiwAAAAJ,"Computational Neuroscience, Neuroeconomics, adaptive learning, adaptive decision making",dartmouth.edu,2704,us,,,,,
Maged Goubran,"Canada Research Chair in AI and Computational Neuroscience, University of Toronto",https://scholar.google.com/citations?hl=en&user=O39vxT0AAAAJ,"Computational Neuroscience, Artificial Intelligence, Neuroimaging, Neuromodulation, Connectomics",utoronto.ca,2702,ca,,,,,
Paul Patton,University of Toronto,https://scholar.google.com/citations?hl=en&user=XsUzgQ0AAAAJ,"computational neuroscience, comparitative neuroscience, perception, history and philosophy of neuroscience",mail.utoronto.ca,2701,ca,,,,,
Yukie Nagai,The University of Tokyo,https://scholar.google.com/citations?hl=en&user=HqTUx7YAAAAJ,"cognitive developmental robotics, computational neuroscience, human-robot interaction",mail.u-tokyo.ac.jp,2699,jp,,,,,
James Whittington,"University of Oxford, Stanford University, Zyphra",https://scholar.google.com/citations?hl=en&user=zUu0JKYAAAAJ,"Computational Neuroscience, Machine Intelligence",ndcn.ox.ac.uk,2699,uk,,,,,
Yoonsuck Choe,"Professor of Computer Science and Engineering, Texas A&M University",https://scholar.google.com/citations?hl=en&user=nFb_T4wAAAAJ,"Computational neuroscience, computational neuroanatomy, neuroinformatics, high-throughput high-resolution microscopy, neural net",tamu.edu,2691,us,,,,,
Gorka Zamora-L®Æpez,"Universitat Pompeu Fabra, Barcelona, Spain",https://scholar.google.com/citations?hl=en&user=Lkn6Ki0AAAAJ,"complex networks, computational neuroscience",upf.edu,2690,es,,,,,
Reza Abbasi-Asl,"Assistant Professor, Neurology, Bioengineering and Therapeutic Sciences, UCSF",https://scholar.google.com/citations?hl=en&user=ob-lLYYAAAAJ,"Machine Learning, Computational Neuroscience, Applied Statistics",ucsf.edu,2687,us,,,,,
Dafnis Batalle,King's College London,https://scholar.google.com/citations?hl=en&user=ZJYE5x8AAAAJ,"Computational Neuroscience, Brain Networks, Graph Theory, Neurodevelopment",kcl.ac.uk,2687,uk,,,,,
Jean-Pascal Pfister,"Professor of Theoretical Neuroscience, Department of Physiology, University of Bern",https://scholar.google.com/citations?hl=en&user=mzUYoLgAAAAJ,"Computational neuroscience, synaptic plasticity",unibe.ch,2679,ch,,,,,
Eduardo Alonso,"Professor of Artificial Intelligence; City, University of London",https://scholar.google.com/citations?hl=en&user=b48-mXoAAAAJ,"Artificial Intelligence, Computational Neuroscience",city.ac.uk,2676,uk,,,,,
Professor Eleni Vasilaki,University of Sheffield,https://scholar.google.com/citations?hl=en&user=hqK2AG0AAAAJ,"Bioinspired Machine Learning, Neuromorphic Computing, Computational Neuroscience",sheffield.ac.uk,2672,uk,,,,,
Hamish Meffin,"Associate Professor, The University of Melbourne",https://scholar.google.com/citations?hl=en&user=fA1TLW0AAAAJ,"Neuroengineering, Computational Neuroscience, Systems Neuroscience, Theoretical Neuroscience, Visual Neuroscience",unimelb.edu.au,2665,au,,,,,
Jeff Alstott,MIT; SUTD,https://scholar.google.com/citations?hl=en&user=ndK8hVIAAAAJ,"Technology forecasting and development, Computational neuroscience, Physics, Economics, Networks",mit.edu,2662,us,,,,,
Martin Havl®™?ek,"Assistant Professor at Department of Cognitive Neuroscience, Maastricht University",https://scholar.google.com/citations?hl=en&user=1pEQqs4AAAAJ,"Modeling brain physiology, Computational Neuroscience, Bayesian Model Inversion, Reinforcement Learning, Computer Vision",maastrichtuniversity.nl,2661,nl,,,,,
Jennifer F. Linden,"Professor of Neuroscience, University College London",https://scholar.google.com/citations?hl=en&user=iDzgV4QAAAAJ,"auditory neuroscience, systems neuroscience, computational neuroscience",ucl.ac.uk,2658,uk,,,,,
Borisyuk Roman,Plymouth University,https://scholar.google.com/citations?hl=en&user=lc-QIxUAAAAJ,Computational Neuroscience,plymouth.ac.uk,2644,uk,,,,,
"Panagiotis (Panos) Fotiadis, PhD","Postdoctoral Fellow | University of Michigan, Ann Arbor",https://scholar.google.com/citations?hl=en&user=XFY--pcAAAAJ,"Computational Neuroscience, Network Science, Anesthesiology, Consciousness, Stroke",umich.edu,2636,us,,,,,
Boyu Wang,"Department of Computer Science, University of Western Ontario",https://scholar.google.com/citations?hl=en&user=qAZM5KcAAAAJ,"machine learning, machine learning applications, computational neuroscience, biomedical engineering",csd.uwo.ca,2629,ca,,,,,
Chris McNorgan,Not affiliated with University at Buffalo,https://scholar.google.com/citations?hl=en&user=C_Rn6OwAAAAJ,"Neural Networks, Computational Neuroscience",alumni.uwo.ca,2627,ca,,,,,
Dr James N Ingram,"Senior Research Associate, Computational and Biological Learning Lab",https://scholar.google.com/citations?hl=en&user=LGgMwucAAAAJ,"Computational Neuroscience, Sensorimotor Control, Motor Learning, Object Manipulation, Tool Use",cam.ac.uk,2615,uk,,,,,
Ian Stevenson,"Associate Professor, University of Connecticut",https://scholar.google.com/citations?hl=en&user=p_SwsGcAAAAJ,"Computational Neuroscience, Statistical Analysis of Neural Data",uconn.edu,2612,us,,,,,
Greg Gerling,"Professor of Systems Engineering, University of Virginia",https://scholar.google.com/citations?hl=en&user=ibBUGLAAAAAJ,"Haptics, Computational Neuroscience, Medical Simulation, Human Factors, Human-Technology Interaction",virginia.edu,2602,us,,,,,
Giorgos Giannakakis,"Institute of Computer Science, Foundation for Research and Technology Hellas (FORTH)",https://scholar.google.com/citations?hl=en&user=AR8VwAMAAAAJ,"Biosignal Analysis, Affective Computing, EEG analysis, Computational neuroscience, Computer vision",ics.forth.gr,2594,gr,,,,,
Catherine Wacongne,AI scientist at AnotherBrain,https://scholar.google.com/citations?hl=en&user=G5ooOeAAAAAJ,"cognitive neuroscience, computational neuroscience, predictive coding",cea.fr,2586,fr,,,,,
Werner Hemmert,"Professor, Department of Electrical and Computer Engineering",https://scholar.google.com/citations?hl=en&user=hlroK_kAAAAJ,"cochlear implants, computational neuroscience, hearing",tum.de,2585,de,,,,,
Michelle Moerel,"Maastricht Centre for Systems Biology (MaCSBio), Maastricht University",https://scholar.google.com/citations?hl=en&user=yPRAybsAAAAJ,"ultra-high field MRI, auditory system, plasticity, computational neuroscience",maastrichtuniversity.nl,2569,nl,,,,,
Diego Paz®Æ,Instituto de F®™sica de Cantabria (CSIC-U. de Cantabria),https://scholar.google.com/citations?hl=en&user=msZ4SzYAAAAJ,"Nonlinear dynamics, Computational neuroscience, Atmospheric sciences",ifca.unican.es,2566,es,,,,,
Amir Dezfouli,BIMLOGIQ,https://scholar.google.com/citations?hl=en&user=o5ym1RsAAAAJ,"Computational neuroscience, Machine Learning",bimlogiq.com,2562,au,,,,,
Mihai A. Petrovici,"Group Leader, NeuroTMA Lab, University of Bern",https://scholar.google.com/citations?hl=en&user=H-R4C1sAAAAJ,"Brain-Inspired Computing, Neuromorphics, Computational Neuroscience, Theoretical Neuroscience",unibe.ch,2559,ch,,,,,
Alfonso P®¶rez Escudero,"Research Center on Animal Cognition, CNRS and Universit√© Toulouse III",https://scholar.google.com/citations?hl=en&user=nQl4vS0AAAAJ,"Animal Behavior, Computational Neuroscience, Behavioral Ecology, Evolution, Artificial Vision",cajal.csic.es,2548,es,,,,,
Andrew Reid,"School of Social and Behavioral Sciences, Tilburg University",https://scholar.google.com/citations?hl=en&user=KmkZkT4AAAAJ,"Norepinephrine, Computational Neuroscience, Neuroimaging, Brain Connectivity, Alzheimer's Disease",tilburguniversity.edu,2547,nl,,,,,
Keiichi Kitajo,"Professor, Division of Neural Dynamics, National Institute for Physiological Sciences",https://scholar.google.com/citations?hl=en&user=GaOfRPoAAAAJ,"computational neuroscience, nonlinear neural dynamics, cognitive neuroscience, TMS-EEG",nips.ac.jp,2546,jp,,,,,
Xingang Wang,Shaanxi Normal University,https://scholar.google.com/citations?hl=en&user=irjm6RQAAAAJ,"Complex networks, Chaos synchronization, Pattern formation, Machine Learning, Computational Neuroscience",snnu.edu.cn,2513,cn,,,,,
Paul Miller,Brandeis University,https://scholar.google.com/citations?hl=en&user=ZdwhFVYAAAAJ,Computational Neuroscience,brandeis.edu,2510,us,,,,,
Ye Wu,"Professor, Nanjing University of Science and Technology, UNC, HMS",https://scholar.google.com/citations?hl=en&user=soMcNA8AAAAJ,"Computational Neuroscience, Connectome, Neuroimaging, Diffusion MRI, Tractography",njust.edu.cn,2495,cn,,,,,
Gijs Joost Brouwer,Memorial Sloan Kettering,https://scholar.google.com/citations?hl=en&user=bTR87r8AAAAJ,"data science, computational neuroscience, machine learning, social physics, vision",,2481,us,,,,,
Giuseppe Chindemi,"PostDoc, University of Geneva",https://scholar.google.com/citations?hl=en&user=2Bg_RB0AAAAJ,"computational neuroscience, synaptic plasticity, deep learning",unige.ch,2474,ch,,,,,
Alexander G. Ororbia,Rochester Institute of Technology,https://scholar.google.com/citations?hl=en&user=IAFscrMAAAAJ,"cognitive science, computational neuroscience, predictive processing, active inference",cs.rit.edu,2465,us,,,,,
Ian S Howard,"Associate Professor, University of Plymouth, England",https://scholar.google.com/citations?hl=en&user=qOi-2pMAAAAJ,"Computational neuroscience, motor learning, motor control, robotics, models of speech acquisition",plymouth.ac.uk,2463,uk,,,,,
Demba Ba,Harvard,https://scholar.google.com/citations?hl=en&user=qHiACEgAAAAJ,"Mathematical Signal Processing, Computational Neuroscience, Statistical Learning",seas.harvard.edu,2459,us,,,,,
Dajun Xing,Beijing Normal University,https://scholar.google.com/citations?hl=en&user=wETlqVYAAAAJ,"Visual Perception, Brain Oscillation, Network Dynamics, Neural Connectivity, Computational Neuroscience",bnu.edu.cn,2454,cn,,,,,
Shreejoy Tripathy,"Assistant Professor, University of Toronto; Independent Scientist; CAMH",https://scholar.google.com/citations?hl=en&user=dNybyvgAAAAJ,"Bioinformatics, Computational Neuroscience, Neuroinformatics",camh.ca,2438,ca,,,,,
Dante Augusto Couto Barone,UFRGS,https://scholar.google.com/citations?hl=en&user=O4nTWhwAAAAJ,"Artificial Intelligence, Machine Learning, Natural Language Processing, Computational Neuroscience, Data Science",inf.ufrgs.br,2438,br,,,,,
Florian Neukart,Asst. Professor,https://scholar.google.com/citations?hl=en&user=0XJrC3YAAAAJ,"Computational Intelligence, Computational Neuroscience, Quantum Computing, Data Mining, Software Engineering",umail.leidenuniv.nl,2434,nl,,,,,
Marcel Oberlaender,Max Planck Institute for Neurobiology of Behavior,https://scholar.google.com/citations?hl=en&user=VFoPFi0AAAAJ,"Biological Intelligence, Sensory Perception, Cerebral Cortex, Computational Neuroscience, Neuroanatomy and Neurophysiology",mpinb.mpg.de,2406,de,,,,,
Xue-Xin Wei,"Department of Neuroscience, Department of Psychology, UT Austin",https://scholar.google.com/citations?hl=en&user=7Pd1QzwAAAAJ,"Theoretical neuroscience, Computational neuroscience, Vision, Cognition, Artificial intelligence",utexas.edu,2392,us,,,,,
Emanuelle Reynaud,Universit®¶ Lyon 2,https://scholar.google.com/citations?hl=en&user=RQ-zomwAAAAJ,"computational neuroscience, neuroimaging",univ-lyon2.Fr,2382,fr,,,,,
Lubica Benuskova,"Comenius University in Bratislava, Faculty of Mathematics, Physics and Informatics",https://scholar.google.com/citations?hl=en&user=YKERCFYAAAAJ,"computational neuroscience, artificial neural networks",fmph.uniba.sk,2376,sk,,,,,
Jeremy R. Manning,Dartmouth College,https://scholar.google.com/citations?hl=en&user=hskTzvcAAAAJ,"learning and memory, natural language processing, brain network dynamics, computational neuroscience",dartmouth.edu,2370,us,,,,,
Robert G®πtig,Charit®¶ Medical School Berlin and Berlin Institute of Health,https://scholar.google.com/citations?hl=en&user=lNRHJ6wAAAAJ,Computational Neuroscience,charite.de,2362,de,,,,,
James A. Bednar,"Former Reader, University of Edinburgh",https://scholar.google.com/citations?hl=en&user=h0e2kMQAAAAJ,"Computational Neuroscience, Visual Cortex, Topographic Maps, Cortical Development, Visual System",utexas.edu,2360,us,,,,,
Ashutosh Chaturvedi,Kernel,https://scholar.google.com/citations?hl=en&user=8vf3DxYAAAAJ,"Biophysics modeling, Deep brain stimulation, Computational neuroscience, Neuromodulation, Medical imaging",kernel.co,2359,co,,,,,
Timothy K. Horiuchi (Timmer),University of Maryland,https://scholar.google.com/citations?hl=en&user=7zOscxAAAAAJ,"Neuromorphic VLSI, Computational Neuroscience, Neuromorphic Engineering, Bat Echolocation, Spatial Navigation",umd.edu,2348,us,,,,,
massimo silvetti,National Research Council (CNR),https://scholar.google.com/citations?hl=en&user=FwVvJNIAAAAJ,"Neuroscience, computational neuroscience, cognitive neuroscience",istc.cnr.it,2345,it,,,,,
Maria Papadopouli,"Department of Computer Science, University of Crete and Institute of Computer Science ",https://scholar.google.com/citations?hl=en&user=wZFtgBwAAAAJ,"networking, mobile computing, computational neuroscience, analysis & modeling",csd.uoc.gr,2341,gr,,,,,
Haruo Hosoya,ATR International,https://scholar.google.com/citations?hl=en&user=cWiwtzwAAAAJ,"Computer Science, Computational Neuroscience, Artificial Intelligence",atr.jp,2339,jp,,,,,
Yen-Chu Lin,Barnard College of Columbia University,https://scholar.google.com/citations?hl=en&user=1zPPi8sAAAAJ,"System Neuroscience, Computational Neuroscience, Cognition & Behavior",barnard.edu,2338,us,,,,,
Patrick D Roberts,Portland State University,https://scholar.google.com/citations?hl=en&user=aRAFisoAAAAJ,"computational neuroscience, data science, theoretical physics",proberts.net,2325,us,,,,,
Lida Kanari,?cole polytechnique f®¶d®¶rale de Lausanne,https://scholar.google.com/citations?hl=en&user=tFiySncAAAAJ,"Computational neuroscience, Algebraic topology, Random walks",epfl.ch,2320,ch,,,,,
Christopher Lee-Messer,"Clinical Associate Professor of Neurology, Stanford University",https://scholar.google.com/citations?hl=en&user=zEAw56MAAAAJ,"computational neuroscience, epilepsy, neural development, child neurology, machine learning",stanford.edu,2319,us,,,,,
Vaibhav Dhyani,The Herbert Wertheim UF Scripps Institute for Biomedical Innovation & Technology,https://scholar.google.com/citations?hl=en&user=5xaFoAcAAAAJ,"Systems Biology, Computational Neuroscience, Cell Culture, Data Analysis, Chemical Engineering",ufl.edu,2301,us,,,,,
Tom Rhys Marshall,University of Birmingham,https://scholar.google.com/citations?hl=en&user=wOMnmSsAAAAJ,"Cognitive Neuroscience, Computational Neuroscience",bham.ac.uk,2299,uk,,,,,
Hermann Cuntz,Ernst Str®πngmann Institute (ESI) for Neuroscience in cooperation with Max Planck Society,https://scholar.google.com/citations?hl=en&user=9g7Uj-MAAAAJ,"Computational Neuroscience, Neuroanatomy",fias.uni-frankfurt.de,2292,de,,,,,
Seyed-Mahdi Khaligh-Razavi,Cognetivity Neurosciences,https://scholar.google.com/citations?hl=en&user=3HbeiywAAAAJ,"Digital Health, Artificial Intelligence, Computational Neuroscience, Dementia, Deep learning",Cognetivity.com,2279,uk,,,,,
joel tabak,University of Exeter,https://scholar.google.com/citations?hl=en&user=ASqCX7cAAAAJ,"Neuron, network, pituitary, central pattern generator, computational neuroscience",exeter.ac.uk,2273,uk,,,,,
Yong Chen,"Assistant Professor, Rowan University",https://scholar.google.com/citations?hl=en&user=tMYMNzYAAAAJ,"Bioinformatics, Cancer Epigenetics, Computational Neuroscience, Deep Learning",rowan.edu,2265,us,,,,,
Manish Saggar,"Assistant Professor, Stanford University",https://scholar.google.com/citations?hl=en&user=KLbpCO0AAAAJ,"Brain Dynamics, Machine Learning, Computational Neuroscience, Computational Psychiatry, Creativity",stanford.edu,2264,us,,,,,
Cheol E. Han,"Professor, Dept of Electronics and Information Engineering, Korea University, Sejong",https://scholar.google.com/citations?hl=en&user=FrYevdYAAAAJ,"Computational Neuroscience, Motor Control, Stroke Rehabilitation, Network Science, Connectome",korea.ac.kr,2262,kr,,,,,
